billing_npi,month,total_claims,total_paid
1003039322,2018-01,4643,3397796.69
1003039322,2018-02,4371,3170374.2399999998
1003039322,2018-03,4757,3424459.5300000003
1003039322,2018-04,4405,3404219.75
1003039322,2018-05,4490,3546228.1
1003039322,2018-06,4512,3470644.22
1003039322,2018-07,5670,3868930.27
1003039322,2018-08,5623,3888303.21
1003039322,2018-09,5209,3772101.45
1003039322,2018-10,5747,3940923.74
1003039322,2018-11,5447,3757384.2199999997
1003039322,2018-12,5354,3771459.96
1003039322,2019-01,5743,3918298.6599999997
1003039322,2019-02,5463,3546550.42
1003039322,2019-03,5673,3928628.25
1003039322,2019-04,5793,3834537.0100000002
1003039322,2019-05,5898,4003156.16
1003039322,2019-06,5175,3754752.31
1003039322,2019-07,5990,4121630.8099999996
1003039322,2019-08,5827,4172533.9400000004
1003039322,2019-09,5641,3997657.4899999998
1003039322,2019-10,5916,4177648.8
1003039322,2019-11,5484,3951625.7600000002
1003039322,2019-12,5652,3940332.55
1003039322,2020-01,5875,4208803.350000001
1003039322,2020-02,5310,3917661.47
1003039322,2020-03,4193,4243842.5200000005
1003039322,2020-04,3368,3857652.75
1003039322,2020-05,3612,4383780.25
1003039322,2020-06,3823,4324625.06
1003039322,2020-07,3945,4028718.74
1003039322,2020-08,3269,3847984.09
1003039322,2020-09,3283,3769775.0199999996
1003039322,2020-10,3440,3930017.27
1003039322,2020-11,3295,3818117.26
1003039322,2020-12,3280,3926392.6799999997
1003039322,2021-01,3185,3979855.37
1003039322,2021-02,3272,3676106.47
1003039322,2021-03,3801,4071530.6999999997
1003039322,2021-04,3675,3963445.02
1003039322,2021-05,3561,4113766.29
1003039322,2021-06,3870,4015461.87
1003039322,2021-07,4318,4315483.25
1003039322,2021-08,4282,4324804.6899999995
1003039322,2021-09,4406,4268226.58
1003039322,2021-10,4443,4378246.74
1003039322,2021-11,4511,4276020.79
1003039322,2021-12,4490,4373560.99
1003039322,2022-01,4134,4253856.28
1003039322,2022-02,4284,3985340.14
1003039322,2022-03,4837,4548932.24
1003039322,2022-04,4526,4379252.39
1003039322,2022-05,4556,4490805.45
1003039322,2022-06,4492,4347536.25
1003039322,2023-07,3074,4065896.43
1003039322,2023-08,3442,4209041.92
1003039322,2023-09,3321,4064879.7600000002
1003039322,2023-10,3520,4221460.98
1003039322,2023-11,3395,4127171.68
1003039322,2023-12,3277,4206526.55
1003039322,2024-01,3305,4242091.51
1003039322,2024-02,3437,4038164.3800000004
1003039322,2024-03,3392,4337292.82
1003039322,2024-04,3402,4191278.97
1003039322,2024-05,3250,4283245.33
1003039322,2024-06,2985,4064173.7800000003
1003039322,2024-07,3056,3750109.88
1003039322,2024-08,3517,4294969.74
1003039322,2024-09,3658,4592316.399999999
1003039322,2024-10,4089,4610672.87
1003147588,2018-01,3169,1988929.5999999999
1003147588,2018-02,3388,1782413.35
1003147588,2018-03,3444,2005344.95
1003147588,2018-04,3767,1944236.6
1003147588,2018-05,3674,2040187.76
1003147588,2018-06,3303,1986571.0
1003147588,2018-07,3680,2080825.8099999998
1003147588,2018-08,3475,2112417.56
1003147588,2018-09,3307,2012315.05
1003147588,2018-10,3531,2096672.29
1003147588,2018-11,3417,2052301.18
1003147588,2018-12,3660,2122991.47
1003147588,2019-01,3072,2044695.3
1003147588,2019-02,2577,1789198.66
1003147588,2019-03,2593,1889516.6099999999
1003147588,2019-04,2692,1791924.44
1003147588,2019-05,2751,1827156.92
1003147588,2019-06,2545,1655294.91
1003147588,2019-07,4326,1709780.29
1003147588,2019-08,3955,1712946.21
1003147588,2019-09,4820,1632931.15
1003147588,2019-10,19000,1670796.01
1003147588,2019-11,17829,1586654.51
1003147588,2019-12,17730,1618715.6800000002
1003147588,2020-01,19111,1741562.1700000002
1003147588,2020-02,16423,1498493.26
1003147588,2020-03,17315,1583747.0
1003147588,2020-04,16212,1502136.59
1003147588,2020-05,16528,1530138.27
1003147588,2020-06,19109,1481425.88
1003147588,2020-07,16852,1638239.63
1003147588,2020-08,16431,1625720.23
1003147588,2020-09,16035,1592001.2899999998
1003147588,2020-10,16567,1630746.3
1003147588,2020-11,15985,1540511.84
1003147588,2020-12,16110,1579206.3
1003147588,2021-01,15739,1532155.48
1003147588,2021-02,14056,1374943.7799999998
1003147588,2021-03,15938,1566165.93
1003147588,2021-04,15487,1533856.97
1003147588,2021-05,15811,1670183.2899999998
1003147588,2021-06,15105,1614809.87
1003147588,2021-07,16994,2424462.07
1003147588,2021-08,16378,1942386.16
1003147588,2021-09,16007,1871800.36
1003147588,2021-10,16448,1900802.17
1003147588,2021-11,16111,1854006.4899999998
1003147588,2021-12,16838,1935611.2400000002
1003147588,2022-01,16392,1919751.08
1003147588,2022-02,15248,1760631.58
1003147588,2022-03,16936,1967568.01
1003147588,2022-04,16266,1907307.5099999998
1003147588,2022-05,17015,1990232.08
1003147588,2022-06,16246,1939183.07
1003147588,2022-07,17353,2157431.75
1003147588,2022-08,17682,2200200.92
1003147588,2022-09,16839,2090473.1
1003147588,2022-10,17404,2169326.82
1003147588,2022-11,17178,2149640.65
1003147588,2022-12,18043,2264942.54
1003147588,2023-01,17845,2241823.35
1003147588,2023-02,16045,2019238.5
1003147588,2023-03,18248,2295507.91
1003147588,2023-04,17508,2230160.7800000003
1003147588,2023-05,18564,2362124.9499999997
1003147588,2023-06,17554,2278914.63
1003147588,2023-07,18786,2371610.44
1003147588,2023-08,18730,2355056.85
1003147588,2023-09,18017,2260500.12
1003147588,2023-10,18525,2336247.85
1003147588,2023-11,17669,2237713.48
1003147588,2023-12,17998,2278214.8200000003
1003147588,2024-01,17578,2331129.67
1003147588,2024-02,16493,2203782.96
1003147588,2024-03,17378,2345624.4
1003147588,2024-04,16754,2263426.04
1003147588,2024-05,17543,2374112.12
1003147588,2024-06,16539,2278595.6
1003147588,2024-07,18109,2428175.2800000003
1003147588,2024-08,18141,2453159.9
1003147588,2024-09,17364,2360684.92
1003147588,2024-10,18162,2468493.13
1003147588,2024-11,17310,2347748.64
1003147588,2024-12,1064,155952.18
1003360397,2018-01,458,49969.2
1003360397,2018-02,533,67497.46
1003360397,2018-03,659,89485.49
1003360397,2018-04,690,104348.25
1003360397,2018-05,607,99510.53
1003360397,2018-06,625,103013.5
1003360397,2018-07,759,130194.91
1003360397,2018-08,617,102826.63
1003360397,2018-09,506,84703.82
1003360397,2018-10,737,124923.62
1003360397,2018-11,868,141605.15
1003360397,2018-12,904,151586.49
1003360397,2019-01,996,182866.74
1003360397,2019-02,1034,178683.83
1003360397,2019-03,1376,220505.7
1003360397,2019-04,1314,213246.29
1003360397,2019-05,1475,237281.77
1003360397,2019-06,1538,245950.55
1003360397,2019-07,1942,320028.06999999995
1003360397,2019-08,2400,400155.52999999997
1003360397,2019-09,3161,588005.01
1003360397,2019-10,4410,851310.24
1003360397,2019-11,4599,869644.52
1003360397,2019-12,4874,920483.52
1003360397,2020-01,5001,911227.26
1003360397,2020-02,4942,895072.15
1003360397,2020-03,5546,992926.9099999999
1003360397,2020-04,4965,884611.14
1003360397,2020-05,5685,980219.9299999999
1003360397,2020-06,5832,976458.83
1003360397,2020-07,6731,1090119.82
1003360397,2020-08,7809,1284425.23
1003360397,2020-09,8399,1345801.77
1003360397,2020-10,9506,1484827.92
1003360397,2020-11,10006,1624017.41
1003360397,2020-12,10165,1648718.27
1003360397,2021-01,11313,1866250.99
1003360397,2021-02,10433,1674710.74
1003360397,2021-03,11328,1837986.17
1003360397,2021-04,11264,1804450.37
1003360397,2021-05,12221,1957124.8599999999
1003360397,2021-06,11415,1855659.48
1003360397,2021-07,12138,2020576.9000000001
1003360397,2021-08,12708,2122386.0100000002
1003360397,2021-09,12685,2093219.26
1003360397,2021-10,14004,2322682.2600000002
1003360397,2021-11,13919,2309250.64
1003360397,2021-12,14589,2419645.02
1003360397,2022-01,13530,2295080.08
1003360397,2022-02,13321,2234733.71
1003360397,2022-03,15281,2536780.1999999997
1003360397,2022-04,15035,2510419.17
1003360397,2022-05,16054,2685206.1
1003360397,2022-06,15532,2578308.28
1003360397,2022-07,15727,2623545.1500000004
1003360397,2022-08,15540,2640747.5999999996
1003360397,2022-09,14521,2418422.75
1003360397,2022-10,15804,2959778.82
1003360397,2022-11,16066,2993867.33
1003360397,2022-12,16757,3172599.1399999997
1003360397,2023-01,16977,3208774.74
1003360397,2023-02,16174,3040864.04
1003360397,2023-03,18340,3427016.1
1003360397,2023-04,17036,3238765.8600000003
1003360397,2023-05,17528,3293667.71
1003360397,2023-06,17831,3322249.7600000002
1003360397,2023-07,18557,3508363.6
1003360397,2023-08,17662,3323542.92
1003360397,2023-09,18221,3383726.91
1003360397,2023-10,18981,3549066.5900000003
1003360397,2023-11,17720,3349294.74
1003360397,2023-12,19803,3753241.88
1003360397,2024-01,17575,3412818.36
1003360397,2024-02,17382,3376090.39
1003360397,2024-03,19946,3846495.05
1003360397,2024-04,17831,3447254.82
1003360397,2024-05,19202,3699670.01
1003360397,2024-06,19065,3721679.6500000004
1003360397,2024-07,18267,3536606.5
1003360397,2024-08,19466,3727066.21
1003360397,2024-09,19143,3708638.1799999997
1003360397,2024-10,19510,3754081.12
1003360397,2024-11,19677,3709848.6599999997
1003360397,2024-12,8748,1719315.44
1003803032,2018-01,37422,1513267.3699999999
1003803032,2018-02,35696,1383783.83
1003803032,2018-03,35160,1365541.87
1003803032,2018-04,33868,1371063.0
1003803032,2018-05,36889,1452161.72
1003803032,2018-06,30481,1151270.17
1003803032,2018-07,31019,1197451.33
1003803032,2018-08,37831,1357228.63
1003803032,2018-09,34740,1407991.63
1003803032,2018-10,51721,1860047.94
1003803032,2018-11,42575,1619044.54
1003803032,2018-12,32842,1358376.78
1003803032,2019-01,47526,2116375.78
1003803032,2019-02,45255,1883254.97
1003803032,2019-03,41939,1785274.46
1003803032,2019-04,40645,1736185.5
1003803032,2019-05,40370,1783696.9
1003803032,2019-06,33757,1462515.79
1003803032,2019-07,37606,1602586.1
1003803032,2019-08,38375,1542315.52
1003803032,2019-09,44332,1715149.62
1003803032,2019-10,47289,1824209.59
1003803032,2019-11,36288,1490476.95
1003803032,2019-12,40807,1830319.43
1003803032,2020-01,44056,1993068.11
1003803032,2020-02,40169,1829334.22
1003803032,2020-03,30519,1416162.21
1003803032,2020-04,17140,717907.18
1003803032,2020-05,22444,948595.52
1003803032,2020-06,31202,1339916.94
1003803032,2020-07,31852,1367085.7
1003803032,2020-08,34947,1434877.04
1003803032,2020-09,39727,1524290.47
1003803032,2020-10,41101,1529536.16
1003803032,2020-11,32277,1277576.45
1003803032,2020-12,32011,1289077.07
1003803032,2021-01,33639,1420970.17
1003803032,2021-02,32143,1343214.18
1003803032,2021-03,41404,1785061.98
1003803032,2021-04,37249,1687288.76
1003803032,2021-05,35540,1619962.7
1003803032,2021-06,38400,1679864.11
1003803032,2021-07,153620,2660043.95
1003803032,2021-08,132704,2969651.66
1003803032,2021-09,148329,3203912.83
1003803032,2021-10,132963,3022489.37
1003803032,2021-11,105536,2600070.62
1003803032,2021-12,127546,2943040.59
1003803032,2022-01,128313,2606037.0
1003803032,2022-02,135923,2627125.82
1003803032,2022-03,149510,3307112.37
1003803032,2022-04,138092,2846563.87
1003803032,2022-05,147025,3270030.81
1003803032,2022-06,141479,2925503.5
1003803032,2022-07,129875,2651133.33
1003803032,2022-08,141690,3247020.9499999997
1003803032,2022-09,149700,3477053.24
1003803032,2022-10,151822,3828495.94
1003803032,2022-11,151944,3621821.23
1003803032,2022-12,146595,3007454.56
1003803032,2023-01,153361,3258207.94
1003803032,2023-02,140948,3044258.64
1003803032,2023-03,171463,3760526.15
1003803032,2023-04,145062,2994307.02
1003803032,2023-05,155018,3502485.0
1003803032,2023-06,143989,3076722.42
1003803032,2023-07,132296,2802102.18
1003803032,2023-08,140145,3004182.17
1003803032,2023-09,141754,3074746.23
1003803032,2023-10,160051,3260184.5
1003803032,2023-11,128354,2649956.72
1003803032,2023-12,141134,2911172.71
1003803032,2024-01,128976,3085386.66
1003803032,2024-02,128739,3056790.99
1003803032,2024-03,120107,2692453.29
1003803032,2024-04,122412,2824848.15
1003803032,2024-05,123590,2849700.02
1003803032,2024-06,109262,2410483.22
1003803032,2024-07,138398,2760686.33
1003803032,2024-08,143016,2903518.13
1003803032,2024-09,131702,2793417.26
1003803032,2024-10,134028,2939487.36
1003803032,2024-11,118697,2451422.36
1003803032,2024-12,73582,1048126.24
1003847807,2018-01,8699,3324877.35
1003847807,2018-02,8079,3085058.47
1003847807,2018-03,8760,3381694.81
1003847807,2018-04,8824,3365516.64
1003847807,2018-05,8902,3309508.61
1003847807,2018-06,8831,3460341.94
1003847807,2018-07,9076,3627294.51
1003847807,2018-08,9202,3867715.04
1003847807,2018-09,8686,3415079.83
1003847807,2018-10,9084,3505416.1799999997
1003847807,2018-11,8841,3452280.86
1003847807,2018-12,9140,3645140.9699999997
1003847807,2019-01,8867,3467234.05
1003847807,2019-02,8041,3186984.46
1003847807,2019-03,8808,3443354.25
1003847807,2019-04,8758,3454898.19
1003847807,2019-05,9118,3481292.46
1003847807,2019-06,8695,3487986.25
1003847807,2019-07,9139,3692584.33
1003847807,2019-08,9118,3865997.9
1003847807,2019-09,8706,3452119.73
1003847807,2019-10,8856,3386327.0700000003
1003847807,2019-11,7892,3105638.41
1003847807,2019-12,8466,3382982.87
1003847807,2020-01,7970,3070196.77
1003847807,2020-02,7373,2832932.2199999997
1003847807,2020-03,7886,3259704.49
1003847807,2020-04,7073,3095031.4
1003847807,2020-05,7522,3267061.0300000003
1003847807,2020-06,7718,3324187.45
1003847807,2020-07,7991,3444466.54
1003847807,2020-08,7991,3458430.54
1003847807,2020-09,7857,3319574.77
1003847807,2020-10,7863,3859876.83
1003847807,2020-11,7099,3511620.0
1003847807,2020-12,7513,3743409.0
1003847807,2021-01,6791,3347594.64
1003847807,2021-02,6281,3115221.0
1003847807,2021-03,7255,3547935.0
1003847807,2021-04,7114,3527529.0
1003847807,2021-05,7453,3612072.0
1003847807,2021-06,7213,3546774.0
1003847807,2021-07,7068,3489666.0
1003847807,2021-08,6681,3358968.12
1003847807,2021-09,6461,3057984.0
1003847807,2021-10,6788,3161064.0
1003847807,2021-11,6730,3114288.0
1003847807,2021-12,6742,3176247.0
1003847807,2022-01,6143,2803511.71
1003847807,2022-02,6216,2796935.7
1003847807,2022-03,7052,3102510.2
1003847807,2022-04,6614,2962634.0
1003847807,2022-05,6787,3045549.0
1003847807,2022-06,6776,3123286.5
1003847807,2022-07,6800,3117303.5
1003847807,2022-08,7138,3493081.5
1003847807,2022-09,6822,3103091.75
1003847807,2022-10,6891,3110262.25
1003847807,2022-11,6704,3046682.25
1003847807,2022-12,6878,3214006.25
1003847807,2023-01,7303,3211635.55
1003847807,2023-02,6286,2963851.0
1003847807,2023-03,7816,3306607.25
1003847807,2023-04,8639,3206203.5
1003847807,2023-05,7570,3442587.5
1003847807,2023-06,7094,3314439.5
1003847807,2023-07,4066,1962389.5
1003847807,2023-08,7821,4083016.0
1003847807,2023-09,7062,3354741.5
1003847807,2023-10,7419,2065868.5
1003847807,2023-11,7918,2243550.79
1003847807,2023-12,8374,2991495.1399999997
1003847807,2024-01,8231,2721896.11
1003847807,2024-02,8489,2882499.9699999997
1003847807,2024-03,7956,3015541.25
1003847807,2024-04,7592,2911297.5
1003847807,2024-05,7582,2872152.0
1003847807,2024-06,7486,2854669.25
1003847807,2024-07,7467,3237896.92
1003847807,2024-08,7604,3552348.02
1003847807,2024-09,7455,3250629.49
1003847807,2024-10,7687,3287389.07
1003847807,2024-11,6348,2841376.42
1003847807,2024-12,145,72157.11
1003878539,2018-01,100877,3567301.78
1003878539,2018-02,89437,3210324.75
1003878539,2018-03,98903,3602699.14
1003878539,2018-04,93478,3525927.62
1003878539,2018-05,96993,3496032.79
1003878539,2018-06,88730,3298213.14
1003878539,2018-07,90953,3370045.27
1003878539,2018-08,97908,3625094.95
1003878539,2018-09,92585,3116691.67
1003878539,2018-10,104001,3738839.76
1003878539,2018-11,92929,3411106.89
1003878539,2018-12,86731,3116394.06
1003878539,2019-01,104556,3569000.8
1003878539,2019-02,92351,3244950.66
1003878539,2019-03,102211,3625602.51
1003878539,2019-04,102625,3766842.79
1003878539,2019-05,97572,3522622.4
1003878539,2019-06,87618,3077898.0100000002
1003878539,2019-07,98031,3408757.9
1003878539,2019-08,98819,5137076.03
1003878539,2019-09,99382,3332291.06
1003878539,2019-10,117467,3916873.52
1003878539,2019-11,92269,3215630.31
1003878539,2019-12,92674,3246121.57
1003878539,2020-01,109896,3506097.46
1003878539,2020-02,95414,3053699.55
1003878539,2020-03,66017,2215342.72
1003878539,2020-04,33745,1119512.93
1003878539,2020-05,51298,1681048.6
1003878539,2020-06,79472,2728726.71
1003878539,2020-07,92657,3007343.55
1003878539,2020-08,92004,3161965.38
1003878539,2020-09,102213,3392657.19
1003878539,2020-10,104697,3986081.22
1003878539,2020-11,94817,3469381.03
1003878539,2020-12,94197,3815181.2
1003878539,2021-01,97805,3932779.14
1003878539,2021-02,99191,3577310.17
1003878539,2021-03,115751,4603159.58
1003878539,2021-04,102741,3998182.04
1003878539,2021-05,99587,3796972.2
1003878539,2021-06,103338,3980500.59
1003878539,2021-07,107181,4031466.99
1003878539,2021-08,110255,4260167.85
1003878539,2021-09,111728,4024847.33
1003878539,2021-10,115224,4116353.35
1003878539,2021-11,111597,4133325.72
1003878539,2021-12,103330,3978618.36
1003878539,2022-01,104626,4255727.32
1003878539,2022-02,103822,3744445.91
1003878539,2022-03,128754,5086040.86
1003878539,2022-04,118977,4336899.33
1003878539,2022-05,116546,4324328.81
1003878539,2022-06,112349,4236979.64
1003878539,2022-07,108604,3935529.61
1003878539,2022-08,123070,4550355.97
1003878539,2022-09,119197,4329000.32
1003878539,2022-10,124267,4624310.06
1003878539,2022-11,122026,4999232.0
1003878539,2022-12,115804,4662534.92
1003878539,2023-01,131176,4610721.33
1003878539,2023-02,120224,4018056.91
1003878539,2023-03,134112,5043526.75
1003878539,2023-04,123326,4585087.7700000005
1003878539,2023-05,128341,4836586.03
1003878539,2023-06,120591,4745158.72
1003878539,2023-07,115481,4306104.7
1003878539,2023-08,130319,4776673.94
1003878539,2023-09,117538,4149915.82
1003878539,2023-10,126745,4801263.49
1003878539,2023-11,115310,4145581.11
1003878539,2023-12,108708,3906992.52
1003878539,2024-01,121579,4510018.57
1003878539,2024-02,120658,4503764.83
1003878539,2024-03,118122,4274348.7
1003878539,2024-04,117750,4325333.39
1003878539,2024-05,114975,4167216.85
1003878539,2024-06,97908,3798348.06
1003878539,2024-07,102511,3819191.42
1003878539,2024-08,101907,3463834.06
1003878539,2024-09,97942,3639309.33
1003878539,2024-10,96791,3307366.63
1003878539,2024-11,73134,2682975.22
1003878539,2024-12,19104,553716.08
1003914946,2018-01,13634,1699985.69
1003914946,2018-02,2716,404974.21
1003914946,2018-03,2753,401709.82
