rank,billing_npi,total_claims,total_paid
1,1417262056,89773441,7177816544.46
2,1699703827,30870976,6778483867.35
3,1376609297,63523750,5571605313.0
4,1699725143,107716418,3093063112.9
5,1922467554,21977069,3025874966.69
6,1710176151,35557539,2683634591.67
7,1629436241,16349155,2596064454.98
8,1982757688,1950098,2254946211.7
9,1538649983,22162533,2105798329.42
10,1528263910,4656205,1728502977.19
11,1962650622,11238391,1682424022.37
12,1720151046,7928022,1476339972.58
13,1356709976,5287026,1452536495.04
14,1396051694,9386423,1442353043.54
15,1538144910,103910314,1436181704.91
16,1447261540,8714521,1398902370.04
17,1750504064,1662383,1349935087.72
18,1417099789,6184815,1344222550.1200001
19,1073055208,10541518,1281885231.52
20,1376554592,1593649,1225040114.19
21,1518096411,1557105,1143418621.17
22,1700090834,14999665,1125938944.49
23,1780816991,6915432,1107509967.21
24,1275657553,7622845,1101806880.0
25,1134250475,1432892,1097550708.19
26,1376097303,6692707,1081483692.76
27,1578778726,23557851,1080566062.71
28,1083783013,5875713,1077342251.7
29,1326168840,3312341,1073667311.34
30,1659402303,6138417,1068150354.86
31,1184703415,5015054,1061917965.84
32,1720145378,10544174,1061171577.13
33,1194934471,6532613,1053552904.84
34,1396049987,2757160,1042893317.11
35,1518098359,11206578,1037216238.4
36,1518049485,5716218,1025590031.98
37,1932341898,306131,996801121.54
38,1952476988,17112336,961141901.37
39,1457410904,5589304,953479646.08
40,1093834020,51017667,910633453.0600001
41,1043386659,4320082,903144307.96
42,1134260078,34388480,894406192.52
43,1124304621,5599208,887501813.41
44,1245354000,781227,881889979.78
45,1871821710,4759464,865877079.43
46,1679525919,16016267,863549395.76
47,1053321869,14797415,858202022.04
48,1033571658,5704959,848211431.1
49,1801060363,5447800,842517560.21
50,1730438706,4928110,840475278.04
51,1104963347,4933775,806659263.46
52,1124494059,910831,780976224.27
53,1134152986,11019261,777537649.43
54,1770022691,5661079,775248390.58
55,1346218294,14457145,768481072.41
56,1457562811,4839538,767950561.97
57,1184166027,6527516,759749435.75
58,1528338282,4827072,759480229.5
59,1447393319,4169477,745668883.76
60,1528315397,4689038,740001913.97
61,1821275801,4166637,737824812.5600001
62,1992920417,9313474,733082656.72
63,1770538001,3034929,728111212.47
64,1457601965,26606071,723937836.8
65,1063497451,109455732,717466640.82
66,1518911338,8817197,716407787.9
67,1063812105,5318854,714231712.54
68,1407897309,9991272,708859553.08
69,1104253558,8270331,708682479.28
70,1952346876,1626136,708513856.49
71,1932106010,3291802,703738514.8
72,1730244294,3803723,696610298.1
73,1649363342,3665321,686260064.07
74,1265926687,4947130,680727558.69
75,1366479099,111637602,668499553.82
76,1194165985,3944870,667442680.69
77,1437175734,8471931,658485314.25
78,1730491945,7838014,643184712.3
79,1225255375,5455305,642451488.14
80,1558672279,7257656,641511859.92
81,1932145778,57184397,637741416.64
82,1447488721,3446648,636580818.96
83,1326111337,10763744,631608444.85
84,1801027404,3406847,624768225.25
85,1134277494,60790152,620067105.66
86,1932184322,53462000,617017961.77
87,1306875695,790946,615308759.58
88,1518259035,3502099,609810517.82
89,1932721834,5766334,606657803.13
90,1861520272,17581374,600905872.13
91,1245414721,7464255,598860245.02
92,1508199258,3115644,598198692.3
93,1053641498,2755271,590623456.31
94,1003953803,3013352,588362360.46
95,1497933162,30684871,579294569.0600001
96,1508025370,3902694,576959418.11
97,1700828852,10961069,574131419.67
98,1891728697,9598455,571724616.59
99,1720121106,1802919,560383490.86
100,1083765689,11242943,559483344.48
101,1861506560,6634271,556646906.72
