rank,billing_npi,name,provider_type,specialty,city,state,zip,total_claims,total_paid
1,1417262056,PUBLIC PARTNERSHIPS LLC,Organization,Supports Brokerage,LATHAM,NY,12110,89773441,7177816544
2,1699703827,LOS ANGELES COUNTY DEPARTMENT OF MENTAL HEALTH,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",LOS ANGELES,CA,90020,30870976,6778483867
3,1376609297,"TEMPUS UNLIMITED, INC.",Organization,Voluntary or Charitable,STOUGHTON,MA,2072,63523750,5571605313
4,1699725143,"MODIVCARE SOLUTIONS, LLC",Organization,Transportation Broker,DENVER,CO,80237,107716418,3093063113
5,1922467554,FREEDOM CARE LLC,Organization,Home Health,NEW HYDE PARK,NY,11042,21977069,3025874967
6,1710176151,GUARDIANTRAC. LLC,Organization,Community/Behavioral Health,STURGIS,MI,49091,35557539,2683634592
7,1629436241,"DEPARTMENT OF INTELLECTUAL AND DEVELOPMENTAL DISABILITIES, STATE OF TN",Organization,Public Health or Welfare,NASHVILLE,TN,37243,16349155,2596064455
8,1982757688,ALABAMA DEPARTMENT OF MENTAL HEALTH AND MENTAL RETARDATION,Organization,Community/Behavioral Health,MONTGOMERY,AL,36130,1950098,2254946212
9,1538649983,CONSUMER DIRECT CARE NETWORK VIRGINIA,Organization,Home Health,MISSOULA,MT,59808,22162533,2105798329
10,1528263910,COUNTY OF SANTA CLARA,Organization,Community/Behavioral Health,SAN JOSE,CA,95128,4656205,1728502977
11,1962650622,AMERICAN BUSINESS INSTITUTE CORP,Organization,Home Health,FLUSHING,NY,11355,11238391,1682424022
12,1720151046,PREMIER HOME HEALTH CARE SERVICES INC,Organization,Home Health,NEW YORK,NY,10004,7928022,1476339973
13,1356709976,"DEPARTMENT OF INTELLECTUAL AND DEVELOPMENTAL DISABILITIES, STATE OF TN",Organization,Public Health or Welfare,NASHVILLE,TN,37243,5287026,1452536495
14,1396051694,ASSISTCAREHOME HEALTHCARE SERVICES,Organization,Home Health,BROOKLYN,NY,11232,9386423,1442353044
15,1538144910,LABORATORY CORPORATION OF AMERICA HOLDINGS,Organization,Clinical Medical Laboratory,BURLINGTON,NC,27215,103910314,1436181705
16,1447261540,COUNTY OF RIVERSIDE,Organization,Community/Behavioral Health,RIVERSIDE,CA,92503,8714521,1398902370
17,1750504064,DEPARTMENT OF DEVELOPMENTAL SERVICES,Organization,Case Management,SOUTHBRIDGE,MA,1550,1662383,1349935088
18,1417099789,CITY & COUNTY OF SAN FRANCISCO,Organization,Community/Behavioral Health,SAN FRANCISCO,CA,94103,6184815,1344222550
19,1073055208,"COMPASS HEALTH, INC.",Organization,Community/Behavioral Health,CLINTON,MO,64735,10541518,1281885232
20,1376554592,CITY OF CHICAGO,Organization,Ambulance,CHICAGO,IL,60602,1593649,1225040114
